"txtDepartment";"txtCategory";"boxQuestion";"boxAnswer"
"Reno Justice Court";"Small Claims";"What do I do if I could not have the defendant served?  ";"You need to bring all your pink copies of the Small Claim Complaint to Reno Justice Court and ask that the hearing be RESET. The clerk will put the new court date on your copies and the original and hopefully you can get it served by that date. A new home or work address would be helpful in increasing the possibility of service."
"Reno Justice Court";"Small Claims";"I was mailed a continuance letter, but it went to my old address and I missed my court date. What do I do now?  

";"If you move, whether you are the plaintiff or the defendant, you must keep the court informed of your new address and phone number and the clerk will include that information on your claim.   If you are the plaintiff and you missed your court date, you may file a Motion to Set Aside Dismissal.  If you are the defendant you may file a Motion to Set Aside Default Judgment."
"Reno Justice Court";"Small Claims";"I can`t come to the Small Claims hearing on the date set. How do I postpone it?  ";"As soon as possible, you must either mail or fax a letter to the judge assigned to your case requesting a continuance.  If you are requesting a continuance on the day of court, the judge may not be able to accommodate you."
"Reno Justice Court";"Small Claims";"Can I have a Small Claim served by Certified Mail if I only have a Post Office Box?  ";"Yes. If you have a Post Office Box or a regular street address, you can have it served by Certified Mail. The court mails the Small Claim and the fee is $8.00 per defendant."
"Reno Justice Court";"Small Claims";"Can I file a Small Claim for damages, pain and suffering or punitive damages?   ";"The judges do not award punitive damages except on rare occasions. If you feel punitive damages are warranted, sue for the amount you want and itemize what you are suing for and the judge may award them to you.  The judge may also subtract them from the principal amount of the judgment."
"Reno Justice Court";"Small Claims";"If my server cannot serve the defendant, how do I find out his address?  ";"The Court does not have the means to find this information for you. You can try the Post Office or you can hire an investigator to find this information for you. You can also have the defendant served at work."
"Reno Justice Court";"Small Claims";"How long do I have to file a Small Claim after the incident occurred?  ";"You have a minimum of 2 years and a maximum of 6 years to file it depending upon what type of claim you have.  To determine what type of claim you have, you must either seek legal advice or research it through the Nevada Revised Statutes. The Nevada Revised Statutes are available to the public at the Washoe County Law Library or <a href=\"http://www.leg.state.nv.us\" target=_blank>www.leg.state.nv.us</a>."
"Reno Justice Court";"Small Claims";"Can an attorney represent me in Small Claims Court? 

";"Yes, an attorney can represent you, but you cannot collect attorney`s fees from your opponent."
"Reno Justice Court";"Small Claims";"What if I disagree with the decision that the judge makes in my case?  
";"You may appeal the decision to the Second Judicial District Court.

"
"Senior Services";"Senior Law Project";"Can I make a Will?";"Yes you can if you meet our grant requirements, which are the following: 
You have to be 60 years old or older and a Washoe County Resident. 
You do not own any property outside of the state of Nevada. 
Your assets do not exceed $50,000, and this does not include your house. 
Your total monthly income cannot exceed a certain dollar amount. You will need to contact SLP since this amount changes on a yearly basis. 
Simply contact our office or complete the on-line application along with the assets questionnaire. At the beginning of every month, we mail out letters to qualified clients with the name, address, and telephone number of the attorney that will be assisting them with their Will at no charge. The suggested donation for this service is $30.00 for a single person and $50.00 for a married couple.
"
"Senior Services";"Senior Law Project";"My husband died and we owned our house in Joint Tenancy. How do I take his name off the property?";"You can come into our office anytime Monday thru Friday from 8:00 am until 5:00 pm, however, we are closed from 12:00 pm until 1:00 pm for lunch, and speak with the receptionist. You will need to bring in certain documents for us to photocopy so that we can assist you. They are the following: 
Â• A Joint Tenancy Deed or a Grant, Bargain and Sale Deed if it is a house. If its` a mobile home, then you would need to bring in the Certificate of Ownership. If you do not have a Certificate of Ownership, please let us know because we may be able to get the necessary information from Manufactured Housing`s website. If you own the land under the mobile home as well, they you will have to bring in the Joint Tenancy Deed or the Grant, Bargain and Sale Deed . 
Â• The last property tax bill from Washoe County. If you do not have one, you can obtain a copy from the Treasurer`s Office, which is next to the Assessor`s Office in building D. 
Â• The Death Certificate. 
If the property is in a family trust, we are not able to do an Affidavit of Death of a Joint Tenant. If you are uncertain, please contact us.  
"
